Undefeated |AtlasParkTour1
Doom Sayer |CapAuDiableTour6
Master of Science |CapAuDiableTour7
Circle Gazer |CapAuDiableTour8
Razor Toothed |SharkheadTour1
Forged by Hellfire |SharkheadTour2
Freak of Nature |SharkheadTour3
Pit Viper |SharkheadTour4
Sky Chaser |SharkheadTour5
Unwelcome Guest |SharkheadTour6
Sky Trader |SharkheadTour7
Carping the Diem |SharkheadTour8
Watcher on the Knoll |NervaTour1
Locked and Loaded |NervaTour2
Nerva Wreck |NervaTour3
Primal Instinct |NervaTour4
Tree Hugger |NervaTour5
Unethical Tourist |NervaTour6
Blind Eye |NervaTour7
Soother |NervaTour8
Deuces Wild |StMartialTour1
Paroled::Crimelord |StMartialTour2
Stonekeeper |StMartialTour3
Camel Snot |StMartialTour4
Dead Man's Tree |StMartialTour5
Social Worker::Slumlord |StMartialTour6
Infamous Rubble |StMartialTour7
Showstopper |StMartialTour8
Overlord |GrandvilleTour1
Sewer Dweller |GrandvilleTour2
Guttersnipe |GrandvilleTour3
Master/Mistress of the Airwaves |GrandvilleTour4
Passing Fab |GrandvilleTour5
Image Crasher |GrandvilleTour6
Line Holder |GrandvilleTour7
Gutter Bait |GrandvilleTour8
Reborn |AbyssTour1
Geneticist |AbyssTour2
Here Be Dragons |AbyssTour3
Caged Beast |AbyssTour4
No Escape |AbyssTour5
Hamidon's Ire |AbyssTour6
The Tree of Woe |AbyssTour7
Abyssal Gaze |AbyssTour8
Monster Islander |MonsterIslandTour1
The Roar of the Beast |MonsterIslandTour2
Rikti Monkey Island |MonsterIslandTour3
Monsters' Playthings |MonsterIslandTour4
Dark Garden |MonsterIslandTour5
Grim Fandango |MonsterIslandTour6
Misfit Monstrosity |MonsterIslandTour7
Monster Factory |MonsterIslandTour8
Clockwork Mechanic |P_ClockworkMechanic
Disappeared |P_Disappeared
Ferryman/woman of the Damned |P_FerrymanOfTheDamned
Morbid |P_Morbid
Secret Prisoner |P_SecretPrisoner
Trainspotter |P_Trainspotter
Urban Spelunker |P_UrbanSpelunker
Warrior at the Gate |P_WarriorAtTheGate
Ambitious |P_Ambitious
Citizen Cole |P_CitizenCole
Civic Minded |P_CivicMinded
Guardians of Justice |P_GuardiansOfJustice
Into the Wild |P_IntoTheWild
Technophile |P_Technophile
Un-Civil Society |P_UnCivilSociety
On the Waterfront |P_Waterfront
Broken Mind |P_BrokenMind
Condemning |P_Condemning
Engineer |P_Engineer
Eyes of the Dark |P_EyesOfTheDark
Hoarder |P_Hoarder
Lowlife |P_Lowlife
Silent Witness |P_SilentWitness
Underground Explorer |P_UndergroundExplorer
Gold Digger |P_GoldDigger
Mercy Missionary |P_MercyMissionary
Park Ranger |P_ParkRanger
Praetorian of Privilege |P_PraetorianOfPrivilege
Seen |P_Seen
Seer |P_Seer
Tiberian Overseer |P_TiberianOverseer
Tuned In |P_TunedIn
Going Rouge |P_GoingRouge
Binge Eater |P_BingeEater
Cluttered |P_Cluttered
Drink Enriche! |P_DrinkEnriche
Grade F |P_GradeF
Keeping the Lights On |P_KeepingTheLightsOn
Ready for Anything |P_ReadyForAnything
Nailbiter |P_Nailbiter
The New Boss |P_TheNewBoss
Airlift |P_Airlift
Don't Drink It |P_DontDrinkIt
Eyes to the Future |P_EyesToTheFuture
Longshoreman/woman |P_Longshoreman
Moar Power |P_MorePower
Stockpiling |P_Stockpiling
Stuff of Life |P_StuffOfLife
Urban Renewal |P_UrbanRenewal
River Rat |P_RiverRat
Rail Rider |P_RailRider
Ace |RiktiCrashSiteTour1
Vanguard Operative |RiktiWarZoneTour1
Trespasser |RiktiWarZoneTour2
Powerful |RiktiWarZoneTour3
Lifesaver |RiktiWarZoneTour4
Under Fire |RiktiWarZoneTour5
Base Jumper |RiktiWarZoneTour6
Homewrecker |RiktiWarZoneTour7
Luscious |RiktiWarZoneTour8
Junkyard Dog |RiktiWarZoneTour9
Scarred |RiktiWarZoneTour10
Asunder |RiktiWarZoneTour11
Unabashed |RiktiWarZoneTour12
Eyewitness |RiktiWarZoneTour13
Big Time |BigTime
Trucker |TruckerTour
Lobbyist::Crooked Politician |BloodyBayTour1
Hungry::All Consuming |BloodyBayTour2
Imploding |BloodyBayTour3
Ghoulish |BloodyBayTour4
Hangman/woman |SirensCallTour1
Politician |SirensCallTour2
Broad Shoulders |SirensCallTour3
Piratical |SirensCallTour4
Weapon Inspector::Weapon of Mass Destruction |WarburgTour1
Tunnel Rat |WarburgTour2
Triumphant |WarburgTour3
Globetrotter |ReclusesVictoryTour1
Ragnarok |ReclusesVictoryTour2
Temporal Fighter::Dark Victory |ReclusesVictoryTour3
Last Stand |ReclusesVictoryTour4
Heart of the City::Hate of the City |SafeguardMap1
King's Righteousness::King's Capriciousness |SafeguardMap2
Courage Driven::Rage Driven |SafeguardMap3
Freedom's Defender::Freedom's Crusher |SafeguardMap4
Honorable Captain::Dishonorable Captain |SafeguardMap5
Talos' Might::Talos' Blight |SafeguardMap6
Cornerstone::Weak Point |SafeguardMap7
Founders' Protector::Founders' Invader |SafeguardMap8
Gatekeeper::Keymaster |SafeguardMap9
Global Guardian::Global Threat |MayhemMap1
King Maker |MayhemMap2
Road Raged |MayhemMap3
Steel Worker |MayhemMap4
Revolutionary::Tyrannical |MayhemMap5
Talon of Talos |MayhemMap6
Brickhouse |MayhemMap7
Libertarian::Anarchist |MayhemMap8
Gate Closer::Gate Crasher |MayhemMap9
Cage Fighter |CageFighter
Multidimensional |HydraDimension1
Shrouded::Shady |BlackShroudDimension1
Chrononaut |OuroborosTour1
Depths of Time |CimeroraTour1
Midnighter Club Member |MSClubTour1
Thrill Seeker |MissionArchitectTourism
Pupil |AtlasHistory
Student |CitizenCrimeAct
Scholastic |DimensionalBarrier
Authority |FreedomPhalanx
Disciple |HeroCorps
Expert |MightForRightAct
Academic |NemesisSeizesControl
Intellectual |PsychicFeedbackLoop
Savant |RiktiWar
Researcher |SpankyRabinowitz
Historian |SpecialCouncil
Just Said No to Superadine |Superadine
Scholar |WarOnDrugs
Digger |Hollowing
Ghost Hunter |Ghostship
Alumnus |CroatoaHistory
Arachnos Rising |RecluseArrival
Lorekeeper |CoTMu
Swashbuckler |PirateHistory
Technofreak |Experiments
Headjuiced |P_KnowledgeisPower
Starstruck |P_Starstruck
Midnighter Archivist |Midnight_Mystery
Rule of Three |PositronRevampPart1
Dam Hero::Dam Villain |PositronRevampPart2
Positron's Ally::Positron's Betrayer |PositronTF
Synapse's Cohort::Synapse's Betrayer |SynapseTF
Sister Psyche's Comrade::Sister Psyche's Betrayer |SisterPsycheTF
Citadel's Assistant::Citadel's Betrayer |BastionTF
Manticore's Associate::Manticore's Betrayer |ManticoreTF
Numina's Compatriot::Numina's Betrayer |NuminaTF
Honorary Peacebringer::Alien Fighter |StrigaTF
Cabalist |CroatoaTF
Burkholder's Bane |CouncilRobot
Column Breaker |5thColumnHero
Portal Smasher |ShardTF1
Destroyer of Strength |ShardTF2
Protector of Kindness::Thorn Crusher |ShardTF3
Slayer of Madness |ShardTF4
Saved the World::Saved the World... For Later |STFVictory
Peerless::Recluse's Rival |STFVictory2
Binder of Beasts |BatzulSF
Pirate Hunter::Air Pirate |SkyRaiderSF
Leviathan |WaterTempleSF
Crystal Keeper |SerafinaCrystalSF
Former Servant of Recluse::Servant of Recluse |LordRecluseTF
Arbiter |5thColumnVillain
Apocalyptic |VanguardCoOpTF
Pain Killer |CoPComplete
Temporal Strife |TAComplete
Alpha Struck |AlphaTF_Complete_TinMage
Weapon Master/Warrior Princess |AlphaTF_Complete_Apex
Transcendent |HollowsTR
Transmogrified |TerraVoltaTR
Charmer |SewerTR
Liberator::Destroyer of Earth |EdenTR
Negotiator |SL2Mission
Spelunker |SL2Point5Mission
Plague Stopper::Deadly Virus |SL3Mission
Spirit Warrior |SL4MissionA
Pwnz |SL4MissionB
Redeemer::Conqueror |SL5MissionA
Mystical Savior::Mystical Adept |SL5MissionB
Corrupter |SL6MissionA
War Wall Defender::Saboteur |SL6MissionB
The Doctor's Ally |SL7MissionA
Frontline |SL7MissionB
Emancipator |SL8MissionA
Meteorologist |SL8MissionB
Bodyguard |SL9MissionA
Agent |SL9MissionB
The Fairest::Turf Protector |I11HeroStoryArc1Complete
Singular Vision |I11HeroStoryArc2Complete
Helping Hands |I19HeroStoryArcComplete
Plague Carrier |VSL2.5MissionA
Mask Maker |VSL2.5MissionB
Stone Cold |VSL2MissionA
Bone Collector |VSL2MissionB
Penitent of Vice::Paragon of Vice |VSL3MissionA
Seaweed |VSL3MissionB
Strikebreaker |VSL4MissionA
Slag Reaper |VSL4MissionB
Agent of Discord |VSL5MissionA
Soul Taker |VSL5MissionB
Bad Luck |VSL6MissionA
Exterminator |VSL6MissionB
Skip Tracer |VSL7MissionA
Portal Hopper |VSL7MissionB
Party Crasher |VSL8MissionA
Mage Hunter |VSL8MissionB
Efficiency Expert |VSL9MissionA
Couch Potato |VSL9MissionB
Bane of Ajax |I11VillainStoryArc1Complete
Explosive Finale |I11VillainStoryArc2Complete
Keeper of the Coral Lore |I19VillainStoryArcComplete
Member of Vanguard |VanguardEnabled
The Thief of Midnight |MSThief
Midnight Squad |MSMember
Lost Savior |MSLost
Origin of Power |MSOrigin
Rescuer::Big Softie |Yin
Avid Reader |P_Tutorial_Reader
Denial of Service |P_DenialofService
Moral High Ground |P_5MoralChoice
Resistance Member |P_Resistance
Loyalist |P_Loyalist
Tipped Off |P_GotTip
Walking the Path |P_AlignmentMission
Ear to the Street |P_HeroAlignmentMission
Streetwise |P_VigilanteAlignmentMission
Well Informed |P_RogueAlignmentMission
Inquisitor |P_VillainAlignmentMission
Tested the Water |P_OtherAlignmentMission
Made a Stand |P_MoralityMission
Empowered |P_BuildCommonIA
Initiate |P_BuildUncommonIA
Speed Demon |SlolamGold
Accelerated |SlolamSilver
Qualified |SlolamBronze
Speeder |SlolamGold2
Agile |SlolamSilver2
Surefooted |SlolamBronze2
Laureate |P_Antilaureate
Protester |P_Protestor
Takedown Artist |P_TakedownArtist
Reformed Firebug::Firebug |MayhemFirebug
Pedestrian::Impounder |MayhemImpounder
Fire Marshal::Fired |SafeguardFireMarshal
Bomb Squad::Blue Wire |SafeguardBombSquad
PPD Deputy::Disgraced Deputy |SafeguardPPDDeputy
Security Expert::Inside Man/Woman |SafeguardSecurityExpert
Interceptor |SafeguardInterceptor
Master of Statesman's Task Force |MasterofStatesmansTaskForce
Master of Lord Recluse's Strike Force |MasterofLordReclusesStrikeForce
Master of the 5th Column Strike Force |MasterofReichsmansStrikeForce
Master of the 5th Column Task Force |MasterofReichsmansTaskForce
Master of the Imperious Task Force |MasterofImperiousTaskForce
Master of Lady Grey's Task Force |MasterofLadyGreysTaskforce
Master of Tin Mage Task Force |AlphaTF_Master_TinMage
Master of Apex Task Force |AlphaTF_Master_Apex
Already Dead |AlphaTF_BattleMaidenQuick
Army of Neu |AlphaTF_NeuronClones
Burden Bearer::Arm's Length |AlphaTF_DronesUnused
Drone Protector |AlphaTF_DronesAlive
Hacker |AlphaTF_ComputersQuick
Kitty's Got Claws |AlphaTF_BobcatMaxed
Midnight Dodger What Dodges at Midnight |AlphaTF_NoProximityBombs
Gallant |P_HeroAlignment
Above the Law |P_VigilanteAlignment
Scoundrel |P_RogueAlignment
Dastardly |P_VillainAlignment
Heard the Call |P_HeroAlignmentPower
Fearsome |P_VigilanteAlignmentPower
Trickster |P_RogueAlignmentPower
Frenzied |P_VillainAlignmentPower
Ascended |P_Ascended
Descended |P_Descended
Come Full Circle |P_ComeFullCircle
Grass Is Meaner::Grass is Greener |P_TravelBetweenCities
Protector of Innocents::Soldier |Level10P_Level_10
Keeper of Peace::Insider |Level20P_Level_20
Defender of Truth::Wiseguy/gal |Level30P_Level_30
Justice Incarnate::Captain |Level40P_Level_40
Hero of the City::Made |Level50P_Level_50
Praetorian Professional |P_Level_10Level10
Survivor of Praetoria |P_Level_20Level20
Rift Traveler |P_Level_30Level30
Primal Praetorian |P_Level_40Level40
Praetor |P_Level_50Level50
Celebrity::Bling |CelebrityP_Money_500K
Sensation::Mr./Mrs. Big |SensationP_Money_2500K
Superstar::Midas Touch |SuperstarP_Money_10M
Trendsetter |MultimillionaireP_Money_50M
Popular |BillionaireP_Money_250M
Leader |TrillionaireP_Money_500M
Who's Who |P_Money_500KCelebrity
Acclaimed |P_Money_2500KSensation
Illustrious |P_Money_10MSuperstar
Renowned |P_Money_50MMultimillionaire
Living Legend |P_Money_250MBillionaire
The Chosen One |P_Money_500MTrillionaire
Tourist::Visitor |TouristP_s_10
Collector::Native |CollectorP_s_25
Explorer::Obsessed |ExplorerP_s_50
Pathfinder |PathfinderP_s_100
Trailblazer |TrailblazerP_s_200
Seeker |500sP_s_500
Adventurer |750sP_s_750
Questing |1000sP_s_1000
Voyager |1250sP_s_1250
Lead-Follower |P_s_10Tourist
Extractor of Secrets |P_s_25Collector
Knows the Truth |P_s_50Explorer
Knows He/She Knows Not |P_s_100Pathfinder
Emissary |P_s_200Trailblazer
Overachiever |P_s_500500s
Doer |P_s_750750s
Prepared |P_s_10001000s
No Road Not Taken |P_s_12501250s
Tough::Stoic |ToughP_Damage_100K
Indestructible::Hard Case |IndestructableP_Damage_500K
Adamant::Ironman/woman |AdamantP_Damage_1M
Unbreakable |UnbreakableP_Damage_10M
Nigh Indestructible |NighIndestructableP_Damage_25M
Invulnerable |InvulnerableP_Damage_50M
Immortal |ImmortalP_Damage_100M
Slammer |P_Damage_100KTough
Big Dog |P_Damage_500KIndestructable
Laughs it Off |P_Damage_1MAdamant
Iron Willed |P_Damage_10MUnbreakable
Concussed |P_Damage_25MNighIndestructable
Marvel of Modern Medicine |P_Damage_50MInvulnerable
Challenger of Gods |P_Damage_100MImmortal
The Unwavering::Punch Drunk |UnwaveringFocusP_Debt_50K
The Unyielding::Unbroken |UnyieldingWillP_Debt_100K
The Unbroken Spirit::Relentless |UnbrokenSpiritP_Debt_200K
Deathless |DeathlessP_Debt_400K
Undying |UndyingP_Debt_600K
Exalted |ExaltedP_Debt_1M
Repaired |P_Debt_50KUnwaveringFocus
Went the Extra Mile |P_Debt_100KUnyieldingWill
Undaunted |P_Debt_200KUnbrokenSpirit
Impulsive |P_Debt_400KDeathless
Never Learns |P_Debt_600KUndying
Infinite Lives |P_Debt_1MExalted
Medic::Fixer |MedicP_Heal_250K
Surgeon::Doc |SurgeonP_Heal_1M
Doctor::Mad Scientist |DoctorP_Heal_2M
Medical Specialist |MedicalSpecialistP_Heal_3M
Medicine Man/Woman |MedicineManP_Heal_5M
Empath |EmpathP_Heal_10M
Do Gooder |P_Heal_250KMedic
Safekeeper |P_Heal_1MSurgeon
Clutch |P_Heal_2MDoctor
To The Rescue |P_Heal_3MMedicalSpecialist
Savior |P_Heal_5MMedicineMan
Death's Jailer |P_Heal_10MEmpath
Restrained::Slacker |RestrainedP_Held_10Min
Entangled::Sleepy |EntangledP_Held_30Min
Imprisoned::Dazed and Confused |ImprisonedP_Held_60Min
Confined |ConfinedP_Held_3Hour
Caged |CagedP_Held_6Hour
Jailed |JailedP_Held_12Hour
Waiting |P_Held_10MinRestrained
Locked Out |P_Held_30MinEntangled
Trapped |P_Held_60MinImprisoned
Stuck |P_Held_3HourConfined
Can't Do That |P_Held_6HourCaged
Lagged |P_Held_12HourJailed
Advisor::Comrade |AdvisorP_Mentor_4Hour
Guide::Drill Instructor |GuideP_Mentor_8Hour
Paragon::Svengali |ParagonP_Mentor_12Hour
Role Model |RoleModelP_Mentor_16Hour
Epitome |EpitomeP_Mentor_20Hour
Paradigm |ParadigmP_Mentor_24Hour
Encourager |P_Mentor_4HourAdvisor
Motivator |P_Mentor_8HourGuide
Teacher |P_Mentor_12HourParagon
Dean of Hard Knocks |P_Mentor_16HourRoleModel
Philosopher |P_Mentor_20HourEpitome
Old-Timer |P_Mentor_24HourParadigm
Annihilator |RogueHero
Demolitionist |RWZBomber
Firebase Zulu Security Detail::Firebase Zulu Deserter |FirebaseZuluSecurity
Troll Task Force Member |TrollTaskForce
No One Left Behind |I19HeroStoryArcOptional
Connected |I19VillainStoryArcOptional
Conspiracy Theorist |CreySetHeadlineStealer
Archmage |MagusSetDemonic
Vanguard |RiktiWarSetMegalomaniac
Geas of the Kind Ones |GeasoftheKindOnesMayhemForceOfNature
Yesterday's News::Headline Stealer |HeadlineStealerCreySet
Exorcised::Demonic |DemonicMagusSet
In Therapy::Megalomaniac |MegalomaniacRiktiWarSet
Uninsurable::Force of Nature |MayhemForceOfNatureGeasoftheKindOnes
Field Crafter |InventorAccolade
Watchman/woman |RIWEAccolade
Mission Engineer |ArchitectAccolade
Received the Atlas Medallion::Atlas Shrugged |AtlasSetMarshal
Portal Jockey |DimensionalHopperSetBornInBattle
Freedom Phalanx Reserve Member::Freedom Phalanx Fallen |FreedomPhalanxSetHighPainThreshold
Task Force Commander::Task Force Abandoner |TaskForceCommanderMayhemInvader
Ex-Marshal::Marshal |MarshalAtlasSet
Born in Battle |BornInBattleDimensionalHopperSet
Gotten Soft::High Pain Threshold |HighPainThresholdFreedomPhalanxSet
Return Visitor::Invader |MayhemInvaderTaskForceCommander
False Image::Mirage |MiragePatron
Shark Bait::Bloodletter |BloodInTheWaterPatron
Anti-Venom::Spider's Kiss |SpidersKissPatron
Fwoosh::The Stinger |TheStingerPatron
Received the Stalwart Medallion::Lost the Stalwart Medallion |StalwartMedallion
Earned the Statesman Star::Denied the Statesman Star |StatesmanStar
Awarded the Freedom Cross::Stripped of the Freedom Cross |FreedomCross
Thorn Robber |UnderTheKnife
Thorn Thief |NipTuck
Thorn Usurper |Facelifted
Alchemist |DJ_Alchemist
Anti-Arachnos Activist::Web Weaver |DJ_Web_Weaver
Archaeologist |DJ_Archaeologist
Blockade Runner::Profiteer |DJ_Black_Marketeer
Brood Leaver::Brood Leader |DJ_Brood_Leader
Defector::Black Ops |DJ_Black_Ops
Entrepreneur::Free Trade Advocate |DJ_Entrepreneur
Gladiator |DJ_Gladiator
Master Architect |DJ_Master_Architect
Mercenary |DJ_Soldier
Physician |DJ_Doctor
Police Chief::Corrupt Commissioner |DJ_Warden
Rapid Response Member::Trouble Maker |DJ_Rapid_Response_Member
Scientist::Crackpot |DJ_Scientist
Security Chief::Security Breach |DJ_Security_Chief
Socialite |DJ_Trend_Setter
Time Lord |DJ_Time_Traveler
Traveler::Border Crosser |DJ_Traveler
Whistleblower::Crey Scientist |DJ_Crey_Scientist
Atlas Tour Guide |AtlasParkExplorer
Galactic Explorer |GalaxyCityExplorer
PPD Informant::Former PPD Stoolie |KingsRowExplorer
Canyon Carver |SteelCanyonExplorer
Sky Gazer |SkywayCityExplorer
Faultline Finder |FaultlineExplorer
Island Hopper |TalosIslandExplorer
IP Address |IndependencePortExplorer
Citizen of Salamanca |CroatoaExplorer
Zig Warden::King/Queen of the Zig |BrickstownExplorer
Lost and Found |FoundersFallsExplorer
Portal Corp Analyst |PeregrineIslandExplorer
Apprentice Plumber |SewerNetworkExplorer
Master Plumber |AbSewerNetworkExplorer
Wincott's Ally::Wincott's Betrayer |HollowsExplorer
Perez Park Perfection |PerezParkExplorer
Boom... Goes the Town |BoomtownExplorer
Straight Through Striga |StrigaExplorer
Utilities Commission |TerraVoltaExplorer
